name,command,clear
EFFECTS 1,~F7FF,~FFFF
EFFECTS 2,~FBFF,~FFFF
EFFECTS 3,~FDFF,~FFFF
EFFECTS 4,~FEFF,~FFFF
EFFECTS 5,~FF7F,~FFFF
EFFECTS 6,~FFBF,~FFFF
EFFECTS EXT,~FFDF,~FFFF
EFFECTS DDR 1,~FFEF,~FFFF
EFFECTS DDR 2,~FFF7,~FFFF
EFFECTS TXT,~FFFB,~FFFF
EFFECTS BKG,~FFFD,~FFFF
LIVE 1,~27FF,~2FFF
LIVE 2,~2BFF,~2FFF
LIVE 3,~2DFF,~2FFF
LIVE 4,~2EFF,~2FFF
LIVE 5,~2F7F,~2FFF
LIVE 6,~2FBF,~2FFF
LIVE EXT,~2FDF,~2FFF
LIVE DDR 1,~2FEF,~2FFF
LIVE DDR 2,~2FF7,~2FFF
LIVE TXT,~2FFB,~2FFF
LIVE BKG,~2FFD,~2FFF
PREVIEW 1,~17FF,~1FFF
PREVIEW 2,~1BFF,~1FFF
PREVIEW 3,~1DFF,~1FFF
PREVIEW 4,~1EFF,~1FFF
PREVIEW 5,~1F7F,~1FFF
PREVIEW 6,~1FBF,~1FFF
PREVIEW EXT,~1FDF,~1FFF
PREVIEW DDR 1,~1FEF,~1FFF
PREVIEW DDR 2,~1FF7,~1FFF
PREVIEW TXT,~1FFB,~1FFF
PREVIEW BKG,~1FFD,~1FFF
TAKE,~3F7,~3FF
AUTO,~3FD,~3FF
TRANSITION FADE,^F77,^FF7
TRANSITION FX,^FB7,^FF7
TRANSITION SPEED KNOB CLICK,^27F,^2FF
TRANSITION FX KNOB CLICK,^2BF,^2FF
TRANSITION FTB,^17F,^1FF
TRANSITION ALT,^1BF,^1FF
TRANSITION FADE ALL,~3DF,~3FF
TRANSITION TAKE ALL,~3EF,~3FF
OVERLAY DDR1 KNOB,~500,
OVERLAY DDR1 KNOB,~5FF,
OVERLAY DDR1 KNOB CLICK,^2DF,^2FF
OVERLAY DDR2 KNOB,~600,
OVERLAY DDR2 KNOB,~6FF,
OVERLAY DDR2 KNOB CLICK,^2EF,^2FF
OVERLAY TXT KNOB,~700,
OVERLAY TXT KNOB,~7FF,
OVERLAY TXT KNOB CLICK,^2F7,^2FF
OVERLAY EXT,^1DF,^1FF
OVERLAY DDR1,^1EF,^1FF
OVERLAY DDR2,^1F7,^1FF
OVERLAY TXT,^1FB,^1FF
OVERLAY TAKE OVERLAY,~37F,~3FF
OVERLAY FADE OVERLAY,~3BF,~3FF
TRANSITION BAR 0,~400,
TRANSITION BAR 1,~401,
TRANSITION BAR 2,~402,
TRANSITION BAR 3,~403,
TRANSITION BAR 4,~404,
TRANSITION BAR 5,~405,
TRANSITION BAR 6,~406,
TRANSITION BAR 7,~407,
TRANSITION BAR 8,~408,
TRANSITION BAR 9,~409,
TRANSITION BAR 10,~40A,
TRANSITION BAR 11,~40B,
TRANSITION BAR 12,~40C,
TRANSITION BAR 13,~40D,
TRANSITION BAR 14,~40E,
TRANSITION BAR 15,~40F,
TRANSITION BAR 16,~410,
TRANSITION BAR 17,~411,
TRANSITION BAR 18,~412,
TRANSITION BAR 19,~413,
TRANSITION BAR 20,~414,
TRANSITION BAR 21,~415,
TRANSITION BAR 22,~416,
TRANSITION BAR 23,~417,
TRANSITION BAR 24,~418,
TRANSITION BAR 25,~419,
TRANSITION BAR 26,~41A,
TRANSITION BAR 27,~41B,
TRANSITION BAR 28,~41C,
TRANSITION BAR 29,~41D,
TRANSITION BAR 30,~41E,
TRANSITION BAR 31,~41F,
TRANSITION BAR 32,~420,
TRANSITION BAR 33,~421,
TRANSITION BAR 34,~422,
TRANSITION BAR 35,~423,
TRANSITION BAR 36,~424,
TRANSITION BAR 37,~425,
